"Source:","/home/spocky/arena-clock/pcb/arena-clock/arena-clock.kicad_sch"
"Date:","Mon 20 Nov 2023 06:52:53 PM EST"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","128"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R84","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R85","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R86","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","U1","TPIC6595",":TPIC6C596_3","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"","","U2","TPIC6595",":TPIC6C596_1","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"","","U3","TPIC6595",":TPIC6C596_2","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"","","U4","J107F1CS1212VDC.36","project-components:J107F1CS1212VDC.36","Relay_THT:Relay_SPDT_Finder_36.11",""
"","","U5","J107F1CS1212VDC.36","project-components:J107F1CS1212VDC.36","Relay_THT:Relay_SPDT_Finder_36.11",""
"","","U6","HDSP-7501","Display_Character:HDSP-7501","Display_7Segment:HDSP-A151","https://docs.broadcom.com/docs/AV02-2553EN"
"","","U7","HDSP-7501","Display_Character:HDSP-7501","Display_7Segment:HDSP-A151","https://docs.broadcom.com/docs/AV02-2553EN"
"","","U8","HDSP-7501","Display_Character:HDSP-7501","Display_7Segment:HDSP-A151","https://docs.broadcom.com/docs/AV02-2553EN"
"","","U9","BD50FD0WFP","project-components:BD50FD0WFP","Package_TO_SOT_SMD:TO-263-5","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfd0xxxx-e.pdf"
"","","U10","TPIC6595","project-components:TPIC6C596","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"","","U11","TXU0104","project-components:TXU0104","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"","","U12","TXU0104","project-components:TXU0104","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","C1, C2, C3, C6","C_Small","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"2","2","C4, C5","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"3","4","C7, C8, C9, C10","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"4","1","D1","D_Schottky","Device:D_Schottky","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"5","1","J1","SPEAKER ENABLE","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
"6","1","J2","DIGIT1","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
"7","1","J3","DIGIT2","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
"8","1","J4","DIGIT3","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
"9","1","J5","DIGIT4","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
"10","1","J6","DIGIT5","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
"11","1","J7","DIGIT6","Connector_Generic:Conn_01x09","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal","~"
